album_id,name,lastfm_playcount,lastfm_listeners,lastfm,artist_id
72,Anything Goes,151044,15166,bae5495f-4946-4a90-bd37-957100353aa9,47
73,Angel in Blue Jeans,92995,29908,96c9888f-63aa-4f2c-83c3-7c40069f9f29,177
74,This Is All Yours,5634998,212286,e6f60da3-1d37-4aba-a309-6e65b84ffe66,179
75,The Pinkprint,1103660,59409,42e992fe-52c3-45f9-98c6-af4e391dbd17,92
76,The New Classic,0,0,257b49d8-fa41-4cc6-bc42-530829f4b218,188
77,XSCAPE,0,1,11628a0e-99ad-433b-9259-6de49e72ca24,189
78,Good Kisser,98224,31411,b66990b3-ad8b-4c8a-a64c-1f18a70aa928,191
79,Turn Down for What,370563,101374,254ebb7c-6ece-4233-b5a1-5146dbf289a2,192
80,V,1697675,112973,4932d0f2-35c9-4142-a7fc-8c21aead9bfa,9
81,River Bank,42942,11815,69e2100c-4bde-45b9-bb79-fbea21071ac3,52
82,Blacc Hollywood,0,1,35eb0866-4995-48ff-9dff-dc5d0a192474,197
83,I Don't Dance (Single),61087,15798,337b5c1f-8fcf-4203-b1f1-f0753bd9e411,62
84,We Are Tonight,128975,20183,63ae0cbf-eadc-406d-9b9b-f08c22bcf2a4,198
85,Lunatic,0,0,2f1e8de6-f724-4021-af9f-fa683228d044,200
86,Lights Out,762856,64047,907f6f07-33c7-463b-80e7-42fa7dc3dd59,201
87,Shakira.,761561,28308,9d58d410-abd3-46da-8859-1a5a757fd721,204
88,MKTO,663058,115407,29536b42-b4ee-4478-8699-c7a9296d233a,205
89,Bad Blood,7327560,372229,53967218-4f1d-4418-b60f-29ee6ec6199d,206
90,I'm Ready,15377,2829,a59ed9d2-793f-436a-97fc-9df2fc23218a,208
91,Now That's What I Call Music! 51,1382,326,7885d887-36fd-4258-94d3-e59312e9015d,210
92,Me and My Broken Heart,458041,95315,590e2dee-cad6-4c65-8df6-17b6be4d63c3,211
93,Na Na,140927,37626,82ecec98-114b-47e7-9ddc-5f2dea821561,186
94,Chasing the Sun,145021,14434,7434ac12-9cf5-4939-a341-76fa90952c82,216
95,Not a Bad Thing,417671,93650,e66cd656-1640-42fb-96ea-7d3c2430c86b,217
96,Pure Heroine,0,0,2a7efb0f-cce9-41e8-bf09-78ebef089e20,98
97,Happy Little Pill,152983,33052,5ab19a94-4d11-4f1a-b315-229c041e8746,220
98,She Twerkin,21509,7968,87a6aae8-85d0-4990-979d-bed5f9132b4e,224
99,Love Is Everything,110424,12002,50b1a2f8-c43f-479c-8bea-db328da315bd,227
100,Pioneer,396117,31741,44c22b01-d045-4759-b0f9-e0c30b3ab124,228
101,Never Regret,56275,9056,1702350e-ff5b-4dc2-9a26-39a850b66c8c,233
102,Bring You Back,203887,27546,4d2183e5-42a2-4b1e-8014-407cf8553274,67
103,Night Visions,0,0,68c223b1-9529-4b4c-b116-98629047ca56,59
104,Pop Psychology,374509,32862,0afb50c6-26e4-4d7d-aefc-db90a15c7298,245
105,The Blessed Unrest,1990538,114113,651cf52c-e162-438e-bac4-f0be3109dcc7,246
106,Ultraviolence,0,0,81f18a9a-091f-44b0-bf39-35e2f8f88d8e,243
107,Magic,1506184,252888,64faf9c1-193d-4df7-b07c-6280a516e89a,151
108,Raging Fire,54387,16880,953626fc-48d1-461c-801c-446b96efa872,249
109,Xo,323319,86613,45b03c7c-912f-4a3c-afa2-a6c869dabadd,253
110,All the Little Lights,0,0,06a57743-5331-443c-82f7-caa0c8ecde30,256
111,It Goes Like This,0,0,e97a4b32-9cb3-4b7e-bef1-2d0b32f9ecf6,61
112,Thuga Thug,877,122,b135fdfb-0dfe-4019-bb44-4c2dac21358e,259
113,High Noon,53570,11474,c1c3d376-484a-429b-8030-f2fb9a631116,263
114,More Than Just a Dream,862090,79654,62b4f2ba-6b0a-4f1a-85f8-f4281fffb6bd,264
115,Fever,521987,132329,6253cbbc-eb34-4b22-aac0-c3dbcfdf9a76,265
116,Halcyon Days,4802065,260071,70550030-7064-497a-8f6a-8aecb79d7be7,40
117,Oxymoron,1004220,40715,9dda6194-8300-4f8c-87d6-41c2f304a432,275
118,Based On A True Story...,446101,45999,6b209443-4635-4064-9d78-d3ccb9de75ee,89
119,AM,32570548,565945,aa087ce4-d417-45e3-bff0-db21b61e8daf,285
120,Zion,459430,21244,001dc6f0-62b5-4745-bfa5-f9edf136e6fe,286
121,Slow Me Down,70321,10738,8c56f423-81b2-43ae-a987-a1bad084e279,289
122,Night Train,724336,46650,0cb498dc-8809-41f4-8343-a7c05a638df8,63
123,Unorthodox Jukebox,8752867,467937,1afd0318-1049-4156-ba12-aeb7ed770d08,296
124,The Andrea Faustini Collection,1423,33,a6b2f70d-9321-4ff3-801c-e7cec65752d7,291
125,ARTPOP,19937532,215422,cfe7ed90-41cd-43d2-9a0c-90039fea18fb,298
126,See You Tonight,151856,22113,51506dae-c96c-4d0c-9af0-5e109b4f9b8c,126
127,Tribute,0,1,421ac599-beeb-400b-a950-a506185f0990,302
128,Rebellious Soul,124921,8479,10331d79-6ea1-4d06-b22e-4d612a8a2588,303
129,I Thought I Was an Alien,0,1,e0d7ff8e-906a-4876-8956-ec5e7f51dda0,304
130,Megalithic Symphony,6537084,487336,c59b8222-2b63-46f8-9be2-bd3cf694fc17,306
131,Nothing Was the Same,0,0,9e7dd586-814e-4ba7-ab18-5b3e554b38a7,123
132,Ordinary Love,0,1,f38d4b64-4ef6-440d-bb31-89301c3ac014,308
133,Discrete Luxury,27414,7810,f606612f-310b-4742-ab9f-c67cd18bce5c,311
134,Baptized (Deluxe Version),345448,20462,17ff56e0-d7ea-4516-8b0e-9894995b4530,312
135,The 1975,5783540,238902,0fffcdf3-309b-429a-b34b-f0cbcd71b174,313
136,Chillin' It,71879,16325,a4b286c6-1427-47a4-ac8d-a5cd6011749b,80
137,Helios,642368,40445,35fe12d2-6641-4b9c-a143-143de9967f08,316
138,Friday Night,61530,15060,09d6084d-9897-47f2-9467-3fcc701cbbda,213
139,In a Tidal Wave of Mystery,3456678,240676,20fd354b-ab87-490d-b6f7-bdd48473f14b,321
140,I'm Sorry...,2188373,237818,4d5c290d-5bef-475b-8b45-17f39ceb3159,322
141,Whatever She's Got,72690,15510,b63d5dee-3c57-41af-b525-94a9fb780e41,323
142,Me. I Am Mariah…The Elusive Chanteuse,399465,9276,139b8f48-e025-4c6c-aaf7-3aa426b75820,110
143,Uncaged,786644,58824,4afeba69-805f-4e4d-be6b-73fcdab4292d,332
144,Same Trailer Different Park,1179104,58757,024abf44-0f50-4369-bcd6-ea7017d40474,335
145,Tattoos,1218384,175158,9d194fc9-0f03-4388-8746-418c2b86f5ed,91
146,Wasting All These Tears,91741,18261,71e4a36d-33be-4ca6-bf3e-22d7e7d95965,340
147,Drunk Last Night,75723,18348,ac0ef007-a6a5-43f6-8b4a-3e09042848dc,184
148,How I Feel,111451,31855,4087967d-39be-4ef4-ba31-9ea92b7ef3f6,342
149,Save Rock and Roll,9398284,242406,f8c3e9d6-c4d1-4924-a295-daa39d9fe477,13
150,Journals,977117,23358,b6fece73-2f87-4881-b816-e377be6756d1,343
151,Zendaya,421591,28860,695891cf-904a-43c2-bdf7-1982dd94a36a,345
152,The 20/20 Experience - 2 of 2,656587,58625,581adf31-525f-4c9a-a15a-2ee7ba385101,217
153,Crickets,129893,18953,cc093c37-cfd0-4636-ae3c-6f9017d99405,193
154,The Fox,545863,99811,e327aa19-f1ea-4ec9-b450-4ee3d9cfc231,348
155,Sex and Love,383942,50416,933242f0-fff3-4709-953c-569ad116c270,357
156,Yeezus,11593212,361162,d607b7f8-9d2f-4387-be7c-0693d185d272,359
157,PTXmas Deluxe Edition,1123,123,97615e29-dd30-461a-aa40-14f753473c20,101
158,Stars Dance,5341558,109472,70372a49-63f4-4ef3-8f02-16322fe52d8b,11
159,Wrapped in Red,481204,44518,ca0c60c8-fcae-41d2-8735-558cb4332d84,365
160,"Promo Only: Hot Video, January 2014",136,28,67b63dfe-7d94-454b-ae52-91a5364e83cb,371
161,Two Lanes Of Freedom,0,0,08e31fe4-166e-47f8-851c-47a49be684dc,43
162,Love and War,335686,21192,e39efac6-6dc8-43ea-a1c8-04187a198a20,374
163,The 20/20 Experience,6182748,237296,bd2a6877-71a3-4819-b2bb-b373deb3a756,217
164,Type of Way,17076,5824,7b901ac3-c43d-44e8-b1e4-4bb772096d5d,376
165,Paramore,0,1,846ba3b2-31ab-42a8-ad1b-837cd6da0392,210
166,A Day Without Rain,4602333,254027,e220a946-afea-499f-aaa6-aacab2464f52,378
167,Four the Record,454475,39726,78b29f8f-f77b-46da-88d5-fbcce3f81a4f,239
168,Hard 2 Love,523459,57576,8eef2693-7b98-471a-896e-979f5907b886,62
169,Heartthrob,4357935,157892,62cc778c-a5cf-4be4-8202-8adb131582a7,399
170,Best I Ever Had,0,1,f6993dea-3e29-4e85-a3be-11225db6fbc1,402
171,Here's To The Good Times,1037184,99674,30bd4a6a-44b4-40d2-a489-889ad788fe2f,47
172,Overexposed,0,0,433666a3-683c-46fa-80f6-2fc869bac7f9,9
173,Redneck Crazy,157441,26701,b8630c43-4c19-4525-8e69-7304209addab,87
174,Lightning Bolt,2899327,118969,1c2d3f14-262e-4781-a484-d80ee82ef7a9,407
175,Take Back the Night,215420,60465,2d1a2dc0-1865-44b1-819c-0eaa8dda2a11,217
176,American Girl,121450,18642,cf868417-05a1-44b6-8f09-1d715e027ddd,416
177,Musikvideos Jahrescharts 2013 Top 100,80,31,5d77a000-81e2-4829-b5c5-a9c5184882eb,418
178,All Over The Road,0,1,3d64f994-a480-4c12-8517-7140eacbb042,419
179,"The Disco Boys, Volume 14",0,1,dd8ee4e7-b786-48f4-89a8-79e2f58a8d09,164
180,Rubberband,53508,7821,43b7b363-5596-48ce-9bc4-42b3bec8c626,420
181,Yours Truly,3557553,93591,5977c1de-dc9b-4eef-aa17-9e13a3438f9c,100
182,Blown Away,2286451,138305,d57cc0f2-afab-4a3f-afb9-b93de2340888,36
183,Excuse My French,0,0,73e0b6cc-cc6e-4a94-acfb-328d70e4ccef,433
184,Reflektor,0,0,53811695-5822-47bc-a8e0-8d0e50cecfa5,434
185,Come & Get It,677009,112227,550d238a-ec87-4a38-a3ec-994aa1bbc9d9,11
186,Ciara,1581651,85997,e9b26c47-117e-4a4f-a982-8f5e4c7050f8,437
187,Turn The Night Up,39928,8484,47e31ba4-20bd-4835-8520-a1cd6d298c79,357
188,Life On A Rock,120405,13856,3f44c037-9178-4471-beba-4eb3f717b8a6,57
189,Young Rich N*ggas,165068,25127,a7cc3402-c8d0-4cfd-8aa9-f47f9eca97c0,143
190,Hail To The King,0,0,371811c9-6ad1-47b3-b038-9e766387b0ee,444
191,Hunter Hayes (encore),162521,10639,7616b42f-6720-4a66-83f9-b0ba997a09ad,272
192,Paradise Valley,2699996,144852,9b7225bc-cb6d-47fb-af04-bb948357e1b0,253
193,Helluva Night,11244,4133,360e595c-8f32-4a58-b1f7-7d4ddcd4d9f5,449
194,"Too Weird to Live, Too Rare to Die!",2735055,85238,8eb5df09-7564-40c2-bb3a-4a9e5182ea56,455
195,Word of Mouth,305954,12472,ee1e7eed-8052-48a2-a57b-2d03ccacdd7b,457
196,Tornado,0,1,d55df9d8-819f-41cd-884e-7517e3033f08,125
197,The Lumineers,0,1,49c8c47e-96f1-4f32-b868-b6e930e1371a,460
198,Babel,0,0,fd491d55-6d98-494a-bef6-23919d8b5c91,462
199,Demi,5932660,161546,64e97e28-80e0-4d10-bdeb-1b41190c274c,270
200,What About Love,86268,14902,4ef8b593-69b6-4c01-adcb-63061f409ece,463
201,Chloe (You're the One I Want),55498,10647,df608e36-c5b2-4556-9a31-24abfb2d4ac5,464
202,True Believers,261675,38943,23eb1f11-6372-4dc4-98ab-60103afe38d9,72
203,Up All Night,585305,78013,d43a4a5c-c611-472a-a55d-9078e75a1dcd,466
204,Barefoot Blue Jean Night,1113526,162776,86361ce7-5796-45fa-bfc8-12466eca97f9,85
205,Wheelhouse,186846,18766,b51ab258-3deb-49f4-bdbf-9369a9acaeee,52
206,Ooh La La,55451,4653,b6830e13-205c-4651-8ff9-cddb137bf1ff,349
207,Greatest Hits - Chapter One,903200,51906,071b8ac0-401d-48b0-8899-19bf3e596b7c,365
208,Avril Lavigne,4252012,99740,2538f6bc-1d08-45a4-96aa-ed342e05c6c2,282
209,Fine China,237287,53021,e24e31e2-b0eb-4fcf-9157-3fe149dccc0d,185
210,+,14572914,480270,e15c8c2b-ccc4-4d22-a817-c8c31250b726,4
211,Halfway To Heaven,479699,71156,00112067-ee33-488f-9edf-85af72f62926,247
212,Get Wet,1234004,66119,0177ea9e-24cd-4383-9a7c-489274d26c65,482
213,Harlem Shake,0,1,43371ffd-7c6c-4c13-ad28-e11e3564b6f6,484
214,Downtown,83169,21722,49c93f12-0c5f-433f-a267-6739f9ec9910,170
215,Chief,1518578,153612,114dc1d5-a25d-4893-abaa-a405282128c2,45
216,From Here To Now To You,1387078,106608,d271ec03-1387-43bf-b6f7-e61b5ef24797,491
217,Every Weekend,0,1,b5faa285-8ca0-4d2e-bb1f-471dcef00db5,495
218,A Thousand Miles Left Behind,0,1,929f64e8-0984-4c28-863d-14d3252d706c,497
219,Talk a Good Game,442814,26181,85167333-2e3d-4bb8-b83e-402dfb4ffaa8,505
220,Give It All We Got Tonight,56987,14607,f8a4b141-b953-4bcc-b75e-6913033aa96e,227
221,Some Nights,12800918,581323,75364344-e3c5-43e9-bb2c-bfa67dfe639d,508
222,Greatest Hits,64800,3530,f1d8af54-d94d-4d36-b294-9ac5da23e203,371
223,"Food & Liquor II: The Great American Rap Album, Part 1",28778,1160,b0d805e3-2afe-4e3a-a8a5-3f4f8dfde2bb,512
224,Neon,573705,91251,4326aefb-a4fa-4637-9d64-0d4c0043b1a5,66
225,"Bravo Black Hits, Volume 28",351,178,325094e6-5685-4160-88d8-0059ade253c4,522
226,My Head Is an Animal,0,0,36009c04-7ef0-4d9e-9b40-34ff36a4f2cd,525
227,Pluto,695943,95897,99d70ef9-5703-4870-9277-000ed9061e4f,353
228,Somewhere Somehow,241567,8720,d8b75d0a-a6c4-4edb-8eeb-64fd15c859e6,530
229,Take Me Home,4938005,65717,636a4baf-9a24-4dd6-a507-4a6d6a2d81b7,34
230,Catch My Breath,245731,52391,ea2f2e4d-7f4e-4345-852d-5f1054ab6bcf,365
231,The 2nd Law,14622061,440073,1f27b00b-b078-4286-9f0b-2fb0bd516cff,531
232,LiVe,0,1,eabf3c1f-89e8-4d75-94a7-10a07d376712,534
233,Hunter Hayes,1302514,107783,e2fe0b13-b531-41f1-8ed2-4e9eb6573548,272
234,One Way or Another (Teenage Kicks),0,1,0db4bf16-5694-4f90-ba48-298061bba63f,34
235,Based on a T.R.U. Story,1036451,121342,ddd47d36-6aff-42d8-8845-20f3bd37c3b2,538
236,Kaleidoscope Dream,2781951,149031,800e1e2f-e418-4872-8c2b-511f7104c8dd,443
