"artist_id";"track_id"
"1";"1"
"2";"2"
"2";"9"
"2";"72"
"2";"113"
"2";"187"
"2";"189"
"2";"194"
"2";"537"
"2";"581"
"2";"714"
"2";"736"
"2";"871"
"2";"897"
"2";"907"
"2";"974"
"2";"976"
"2";"977"
"2";"980"
"2";"1019"
"2";"1105"
"2";"1188"
"2";"1322"
"2";"1350"
"2";"1360"
"2";"1370"
"2";"1494"
"2";"1506"
"2";"1691"
"2";"1788"
"2";"1868"
"2";"1869"
"2";"1870"
"2";"1871"
"2";"1872"
"2";"1874"
"2";"1875"
"2";"1887"
"2";"2105"
"2";"2163"
"2";"2176"
"2";"2250"
"2";"2258"
"2";"2347"
"2";"2352"
"2";"2357"
"2";"2359"
"2";"2360"
"2";"2361"
"2";"2463"
"2";"2573"
"2";"2613"
"2";"2636"
"2";"2772"
"2";"2773"
"2";"2774"
"2";"2824"
"2";"2867"
"2";"2936"
"2";"2961"
"2";"3001"
"2";"3496"
"2";"6941"
"2";"7137"
"2";"7140"
"2";"7144"
"2";"7145"
"2";"7147"
"2";"7151"
"2";"8777"
"2";"8778"
"2";"8779"
"2";"8780"
"2";"8781"
"2";"8782"
"2";"8783"
"2";"8784"
"2";"8785"
"2";"9194"
"2";"9195"
"2";"9196"
"2";"9213"
"2";"9243"
"2";"10651"
"2";"10652"
"2";"11031"
"2";"11032"
"2";"11033"
"2";"11034"
"2";"11035"
"2";"11036"
"2";"11037"
"2";"11038"
"2";"14816"
"2";"14817"
"2";"14818"
"3";"3"
"3";"8990"
"3";"9009"
"3";"9075"
"3";"9108"
"3";"23197"
"3";"23198"
"3";"23199"
"3";"23200"
"3";"23201"
"3";"23202"
"3";"23203"
"3";"23204"
"3";"23205"
"3";"23206"
"3";"23207"
"3";"23208"
"4";"4"
"4";"27"
"4";"135"
"4";"263"
"4";"317"
"4";"362"
"4";"716"
"4";"863"
"4";"8442"
"4";"8450"
"4";"8453"
"4";"8454"
"4";"8957"
"4";"8969"
"4";"9197"
"4";"9198"
"4";"9199"
"4";"9200"
"4";"9201"
"4";"9202"
"4";"9203"
"4";"9204"
"4";"10319"
"4";"10320"
"4";"10321"
"4";"10322"
"4";"10323"
"4";"10324"
"4";"10325"
"4";"10326"
"4";"10327"
"4";"10328"
"4";"10329"
"4";"10330"
"4";"10331"
"4";"10332"
"5";"5"
"5";"21"
"5";"139"
"5";"353"
"5";"8373"
"5";"8975"
"5";"9002"
"5";"9094"
"5";"9205"
"5";"9206"
"5";"9207"
"5";"9208"
"5";"9209"
"5";"9210"
"5";"9211"
"6";"6"
"6";"10"
"6";"95"
"6";"119"
"6";"9047"
"6";"9128"
"6";"9214"
"6";"9244"
"6";"9343"
"6";"9344"
"6";"9345"
"6";"9346"
"6";"9347"
"6";"9348"
"6";"9349"
"6";"9350"
"6";"9351"
"6";"9352"
"6";"9353"
"7";"7"
"7";"1963"
"7";"9212"
"7";"9242"
"8";"8"
"9";"11"
"9";"172"
"9";"250"
"9";"593"
"9";"773"
"9";"820"
"9";"1091"
"9";"1458"
"9";"1858"
"9";"1944"
"9";"1981"
"9";"3012"
"9";"3130"
"9";"3220"
"9";"4843"
"9";"4844"
"9";"4846"
"9";"4847"
"9";"4848"
"9";"4849"
"9";"4850"
"9";"4852"
"9";"6733"
"9";"8596"
"9";"8598"
"9";"9543"
"9";"9544"
"9";"9545"
"9";"9546"
"9";"9547"
"9";"9548"
"9";"9549"
"9";"9550"
"9";"9551"
"10";"12"
"11";"13"
"11";"514"
"11";"649"
"11";"2445"
"11";"2697"
"11";"9215"
"11";"9216"
"11";"9217"
"11";"9218"
"11";"9219"
"11";"9220"
"11";"9221"
"11";"9222"
"11";"9223"
"11";"9224"
"11";"9225"
"11";"9226"
"11";"9227"
"11";"9936"
"11";"9937"
"11";"9938"
"11";"9939"
"11";"9940"
"11";"9941"
"11";"9942"
"11";"9943"
"12";"14"
"13";"15"
"13";"77"
"13";"483"
"13";"693"
"13";"829"
"13";"2589"
"13";"2704"
"13";"2804"
"13";"2812"
"13";"3166"
"13";"3203"
"13";"3341"
"13";"3533"
"13";"3721"
"13";"3746"
"13";"3801"
"13";"4740"
"13";"4741"
"13";"4749"
"13";"4750"
"13";"4751"
"13";"4752"
"13";"4753"
"13";"4754"
"13";"4755"
"13";"4756"
"13";"4757"
"13";"4758"
"13";"5266"
"13";"5270"
"13";"5277"
"13";"5279"
"13";"5281"
"13";"5282"
"13";"7312"
"13";"7320"
"13";"7490"
"13";"7492"
