"track_id";"echonest";"lastfm";"spotify";"sevendigital";"vevo";"apple"
"56";;;"0YfA79zrPI3JTmpVBbACt2";;"USUV71402252";
"57";"SONMREN146F91E0235";"02c43f71-d978-49ff-8326-593e186ee551";"14UE0L5fL5TL0ohEiAv56X";"37896801";"USAV61400067";"893738532"
"58";;;"0wy44jzofTRXBPwjl7KtBP";;;
"59";;;"1zbcFS5hS92oXNL3UZDfY0";;;
"60";;;"3PcRAilOjaOdX6RO5MzewO";;;
"61";;;"6Sm2YzLtL8FcyTMONOkiFw";;;
"62";"SOINWVV147E821AC3F";"aec576aa-c651-4056-826d-8c4923c820b6";"1Lh8n5owE0h0hgqWfqtvuD";"38745674";"US6XF1400042";"904056330"
"63";;;"467EtYDw801TKMxMtGCsFO";;;
"64";"SOGHTOC149451B0659";"e9e25a94-a69b-4c50-ad33-a6c00a5df865";"2Ex5M7OjJhkH38JvCUzwXR";"40744063";"USUV71402646";"950797724"
"65";"SOUZDMO146FEEDE4B2";;"6iuMYAaI1QX4BTerXWgDrw";"38798297";"USUMV1400286";"904807677"
"66";"SOUYKGU14A9E0F283F";;"0gLy1JjZc7sUeMhBnHDmlF";;"USLXJ1407162";"718549364"
"67";"SOLHVFQ147E98A7690";"07415d56-2965-4ee8-a688-5b30ace0e7f8";"5Kb5utdaR6qXYZ9WpgoKWm";;;"893013348"
"68";"SOVFJNG1488DACC62F";"a2850837-ba83-4889-9cf1-11375e600201";"236R5NRYWBknazG0Xq8qU5";;;"913336202"
"69";;"a31f02a7-f949-4c4c-afd8-6a4372966b22";"3QEdkjBmbgwTnfvuZL9U97";;"GB1101400555";"914556572"
"70";"SOYRXXU146E9258617";;"5y1ojCNp0g9IU7tmsrXPQk";"37930698";;"957019660"
"71";;"9656e1b2-87c1-4208-8a33-fa814961fc9e";"4kbj5MwxO1bq9wjT5g9HaA";;"USRV81400525";"936832279"
"72";;"4459f042-afff-4fa3-b5e5-e10d9782992d";;"40659516";;"907242704"
"73";"SOWRHAE14925F443FF";"b384fc13-239f-47fc-a5fa-8eed633197a2";"2j79NtwxoWDmkiH4MGwdLq";"31304995";"USRV51400045";"672733764"
"74";;"68791f70-c255-4865-8364-36e448efb42f";"5FVuERsYqtKKAaWe62NBnv";;;"676287779"
"75";;"36af219a-a380-4a4a-8eb0-c7aa560451e6";"7vWGeYZJUzBXKGPro05UXS";;;"923457603"
"76";;;"7MmG8p0F9N3C4AXdK6o6Eb";;"GB1101400751";
"77";;"4ca9ba77-5a62-4fa7-ab76-760f62373c3c";"6ZOzA95b9cxxJ1ISw8FJcy";"42203602";;"948754232"
"78";;;"6FS45yY6JKwMvAqN6vJD50";;;"584481930"
"79";"SOBAWEZ149D9564646";"95174099-7e40-420f-aa82-ee3cc36dbccf";"1HNs07uZxZniPNmniw2GTa";;"USQX91402694";"940845270"
"80";"SORVOTV147E9946432";;"4fiq0WMm2z1nXWT0utC05h";"40206164";"USUV71401881";"909088621"
"81";;;"1rf3C6fWUJU2puq8Smqph9";;;
"82";;"96dd14cb-c6c7-4853-ad0e-23cb86b647b7";"4WGyY671Z37inSpCTBJoIm";"42207330";;
"83";;;"38VErEiTizjEE6BjsmroFx";;"USRV81400619";
