"album_id";"name";"lastfm_playcount";"lastfm_listeners"
"155";"Sex and Love";"383942";"50416"
"156";"Yeezus";"11593212";"361162"
"157";"PTXmas Deluxe Edition";"1123";"123"
"158";"Stars Dance";"5341558";"109472"
"159";"Wrapped in Red";"481204";"44518"
"160";"Promo Only: Hot Video, January 2014";"136";"28"
"161";"Two Lanes Of Freedom";"0";"0"
"162";"Love and War";"335686";"21192"
"163";"The 20/20 Experience";"6182748";"237296"
"164";"Type of Way";"17076";"5824"
"165";"Paramore";"0";"1"
"166";"A Day Without Rain";"4602333";"254027"
"167";"Four the Record";"454475";"39726"
"168";"Hard 2 Love";"523459";"57576"
"169";"Heartthrob";"4357935";"157892"
"170";"Best I Ever Had";"0";"1"
"171";"Here's To The Good Times";"1037184";"99674"
"172";"Overexposed";"0";"0"
"173";"Redneck Crazy";"157441";"26701"
"174";"Lightning Bolt";"2899327";"118969"
"175";"Take Back the Night";"215420";"60465"
"176";"American Girl";"121450";"18642"
"177";"Musikvideos Jahrescharts 2013 Top 100";"80";"31"
"178";"All Over The Road";"0";"1"
"179";"The Disco Boys, Volume 14";"0";"1"
"180";"Rubberband";"53508";"7821"
"181";"Yours Truly";"3557553";"93591"
"182";"Blown Away";"2286451";"138305"
"183";"Excuse My French";"0";"0"
"184";"Reflektor";"0";"0"
"185";"Come & Get It";"677009";"112227"
"186";"Ciara";"1581651";"85997"
"187";"Turn The Night Up";"39928";"8484"
"188";"Life On A Rock";"120405";"13856"
"189";"Young Rich N*ggas";"165068";"25127"
"190";"Hail To The King";"0";"0"
"191";"Hunter Hayes (encore)";"162521";"10639"
"192";"Paradise Valley";"2699996";"144852"
"193";"Helluva Night";"11244";"4133"
"194";"Too Weird to Live, Too Rare to Die!";"2735055";"85238"
"195";"Word of Mouth";"305954";"12472"
"196";"Tornado";"0";"1"
"197";"The Lumineers";"0";"1"
"198";"Babel";"0";"0"
"199";"Demi";"5932660";"161546"
"200";"What About Love";"86268";"14902"
"201";"Chloe (You're the One I Want)";"55498";"10647"
"202";"True Believers";"261675";"38943"
"203";"Up All Night";"585305";"78013"
"204";"Barefoot Blue Jean Night";"1113526";"162776"
"205";"Wheelhouse";"186846";"18766"
"206";"Ooh La La";"55451";"4653"
"207";"Greatest Hits - Chapter One";"903200";"51906"
"208";"Avril Lavigne";"4252012";"99740"
"209";"Fine China";"237287";"53021"
"210";"+";"14572914";"480270"
"211";"Halfway To Heaven";"479699";"71156"
"212";"Get Wet";"1234004";"66119"
"213";"Harlem Shake";"0";"1"
"214";"Downtown";"83169";"21722"
"215";"Chief";"1518578";"153612"
"216";"From Here To Now To You";"1387078";"106608"
"217";"Every Weekend";"0";"1"
"218";"A Thousand Miles Left Behind";"0";"1"
"219";"Talk a Good Game";"442814";"26181"
"220";"Give It All We Got Tonight";"56987";"14607"
"221";"Some Nights";"12800918";"581323"
"222";"Greatest Hits";"64800";"3530"
"223";"Food & Liquor II: The Great American Rap Album, Part 1";"28778";"1160"
"224";"Neon";"573705";"91251"
"225";"Bravo Black Hits, Volume 28";"351";"178"
"226";"My Head Is an Animal";"0";"0"
"227";"Pluto";"695943";"95897"
"228";"Somewhere Somehow";"241567";"8720"
"229";"Take Me Home";"4938005";"65717"
"230";"Catch My Breath";"245731";"52391"
"231";"The 2nd Law";"14622061";"440073"
"232";"LiVe";"0";"1"
"233";"Hunter Hayes";"1302514";"107783"
"234";"One Way or Another (Teenage Kicks)";"0";"1"
"235";"Based on a T.R.U. Story";"1036451";"121342"
"236";"Kaleidoscope Dream";"2781951";"149031"
"237";"Better Dig Two";"0";"1"
"238";"House of Balloons";"5604102";"145915"
"239";"Hey Porsche";"233074";"56696"
"240";"Pitch Perfect";"23189";"627"
"241";"Finally Rich";"1110209";"78015"
"242";"Home";"479426";"75831"
"243";"Swimming Pools (Drank)";"810556";"165899"
"244";"Boys & Girls";"0";"0"
"245";"Wild Ones";"3513649";"359890"
"246";"Every Storm (Runs Out Of Rain)";"100292";"22764"
"247";"How Country Feels";"349195";"37955"
"248";"Casey James";"0";"1"
"249";"Back In The Saddle";"79660";"14448"
"250";"Gossamer";"8397177";"450738"
"251";"The Lateness Of the Hour";"5044148";"358820"
"252";"We Are Never Ever Getting Back Together";"1283734";"206466"
"253";"channel ORANGE";"16026343";"477854"
"254";"Bright Lights";"0";"1"
"255";"Live While We're Young";"354510";"68128"
"256";"Hello My Name Is...";"1079700";"47986"
"257";"The Truth About Love";"7003983";"375694"
"258";"Tailgates & Tanlines";"0";"1"
"259";"Welcome To The Fishbowl";"320362";"40261"
"260";"Everybody Talks";"843383";"181690"
"261";"Changed";"249704";"29390"
"262";"California 37";"2350313";"177423"
"263";"Chapter V";"465594";"35807"
"264";"Unbroken";"8410430";"267176"
"265";"I Won't Give Up";"1080335";"195381"
"266";"Red Karaoke";"10422";"1625"
"267";"Sticks & Stones";"0";"1"
"268";"North";"814914";"35785"
"269";"Talk That Talk";"12687434";"512259"
"270";"Shinin' On Me";"41078";"13423"
"271";"Up All Night";"11295758";"350629"
"272";"Glee: The Music, The Complete Season Four";"403471";"1912"
"273";"Heart Attack";"161232";"36333"
"274";"Jana Kramer";"200301";"15945"
"275";"Angel Eyes";"114012";"30743"
"276";"The Wanted";"0";"0"
"277";"Living Things";"13221242";"315642"
"278";"Ronan";"15809";"1389"
"279";"Punching Bag";"148791";"24311"
"280";"Kiss";"1945412";"140168"
"281";"That's Why I Pray";"21845";"6715"
"282";"¡Uno!";"1802955";"74661"
"283";"O.N.I.F.C.";"1341172";"73648"
"284";"Never Trust A Happy Song";"5256462";"377326"
"285";"Push and Shove";"2289943";"76690"
"286";"Welcome Reality";"4953324";"335367"
"287";"The Band Perry EP";"585190";"190280"
"288";"Own the Night";"1863872";"165983"
"289";"Cashin' Out";"166633";"55395"
"290";"Global Warming";"1223844";"148712"
"291";"Believe";"3983432";"236474"
"292";"El Camino";"17828606";"359966"
"293";"The Video Year Mix 2012";"345";"98"
"294";"Hello";"1099226";"99243"
"295";"Life At Best";"656602";"89657"
"296";"Clancy's Tavern";"318759";"64090"
"297";"Battle Born";"4772006";"193237"
"298";"Trouble Man: Heavy Is the Head";"442564";"44330"
