"artist_id";"name";"image_url"
"1";"Mark Ronson Featuring Bruno Mars";"http://www.billboard.com/artist/309564/mark-ronson"
"2";"Taylor Swift";"http://www.billboard.com/artist/371422/taylor-swift"
"3";"Hozier";"http://www.billboard.com/artist/6059764/hozier"
"4";"Ed Sheeran";"http://www.billboard.com/artist/276089/ed-sheeran"
"5";"Sam Smith";"http://www.billboard.com/artist/5811918/sam-smith"
"6";"Meghan Trainor";"http://www.billboard.com/artist/6155878/meghan-trainor"
"7";"Nick Jonas";"http://www.billboard.com/artist/312243/nick-jonas"
"8";"Ariana Grande & The Weeknd";"http://www.billboard.com/artist/1484343/ariana-grande"
"9";"Maroon 5";"http://www.billboard.com/artist/309663/maroon-5"
"10";"Big Sean Featuring E-40";"http://www.billboard.com/artist/281681/big-sean"
"11";"Selena Gomez";"http://www.billboard.com/artist/278617/selena-gomez"
"12";"James Newton Howard Featuring Jennifer Lawrence";"http://www.billboard.com/artist/304123/james-newton-howard"
"13";"Fall Out Boy";"http://www.billboard.com/artist/276170/fall-out-boy"
"14";"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown";"http://www.billboard.com/artist/312259/nicki-minaj"
"15";"Sia";"http://www.billboard.com/artist/279248/sia"
"16";"Rae Sremmurd";"http://www.billboard.com/artist/6140339/rae-sremmurd"
"17";"I LOVE MAKONNEN Featuring Drake";"http://www.billboard.com/artist/6304640/i-love-makonnen"
"18";"Beyonce";"http://www.billboard.com/artist/281569/beyonce"
"19";"Mr. Probz";"http://www.billboard.com/artist/5895217/mr-probz"
"20";"Usher Featuring Juicy J";"http://www.billboard.com/artist/430708/usher"
"21";"Tove Lo";"http://www.billboard.com/artist/5934571/tove-lo"
"22";"Jessie J, Ariana Grande & Nicki Minaj";"http://www.billboard.com/artist/304565/jessie-j"
"23";"O.T. Genasis";"http://www.billboard.com/artist/6321667/ot-genasis"
"24";"Ella Henderson";"http://www.billboard.com/artist/6133956/ella-henderson"
"25";"Bobby Shmurda";"http://www.billboard.com/artist/6228902/bobby-shmurda"
"26";"Alesso Featuring Tove Lo";"http://www.billboard.com/artist/1482157/alesso"
"27";"Calvin Harris Featuring John Newman";"http://www.billboard.com/artist/275856/calvin-harris"
"28";"Vance Joy";"http://www.billboard.com/artist/5824666/vance-joy"
"29";"OneRepublic";"http://www.billboard.com/artist/314580/onerepublic"
"30";"Pitbull & Ne-Yo";"http://www.billboard.com/artist/1490081/pitbull"
"31";"Jeremih Featuring YG";"http://www.billboard.com/artist/304467/jeremih"
"32";"Iggy Azalea Featuring Rita Ora";"http://www.billboard.com/artist/5694588/iggy-azalea"
"33";"MAGIC!";"http://www.billboard.com/artist/5874338/magic"
"34";"One Direction";"http://www.billboard.com/artist/314021/one-direction"
"35";"Chris Brown & Tyga";"http://www.billboard.com/artist/1486846/chris-brown"
"36";"Carrie Underwood";"http://www.billboard.com/artist/298758/carrie-underwood"
"37";"Iggy Azalea Featuring M0";"http://www.billboard.com/artist/5694588/iggy-azalea"
"38";"Milky Chance";"http://www.billboard.com/artist/5785955/milky-chance"
"39";"Fifth Harmony";"http://www.billboard.com/artist/5665538/fifth-harmony"
"40";"Ellie Goulding";"http://www.billboard.com/artist/301654/ellie-goulding"
"41";"Clean Bandit Featuring Jess Glynne";"http://www.billboard.com/artist/5870483/clean-bandit"
"42";"DeJ Loaf";"http://www.billboard.com/artist/6312464/dej-loaf"
"43";"Tim McGraw";"http://www.billboard.com/artist/429939/tim-mcgraw"
"44";"Flo Rida Featuring Sage The Gemini & Lookas";"http://www.billboard.com/artist/302239/flo-rida"
"45";"Eric Church";"http://www.billboard.com/artist/301808/eric-church"
"46";"Luke Bryan";"http://www.billboard.com/artist/308556/luke-bryan"
"47";"Florida Georgia Line";"http://www.billboard.com/artist/302251/florida-georgia-line"
"48";"Lillywood & Robin Schulz";"http://www.billboard.com/artist/5901303/robin-schulz"
"49";"Kanye West Featuring Paul McCartney";"http://www.billboard.com/artist/276709/kanye-west"
"50";"Fergie";"http://www.billboard.com/artist/302083/fergie"
"51";"Ne-Yo Featuring Juicy J";"http://www.billboard.com/artist/312075/ne-yo"
"52";"Brad Paisley";"http://www.billboard.com/artist/297053/brad-paisley"
"53";"Trey Songz Featuring Nicki Minaj";"http://www.billboard.com/artist/430421/trey-songz"
